Method,Seqlen(k),Nodes,Throughput(TFLOPS/s),Tokens/s
Burst+Double+ZeRO3,2048,4,136.98923893547334,79.21
Burst+Double+ZeRO3,1024,4,132.91212541595223,150.18
Burst+Ulysses+ZeRO3,1024,4,134.77951511250077,152.29
Burst+intraUlysses+ZeRO3,1024,4,135.8592380650075,153.51
